Timestamp,Level,Restart_Quit
10/26/2022 21:37:59,level_two,Quit
10/26/2022 21:39:53,level_one,Quit
10/26/2022 21:40:21,level_three,Quit
10/26/2022 21:51:17,level_two,Restart
10/26/2022 21:51:18,level_two,Quit
10/26/2022 22:00:47,level_one,Restart
10/26/2022 22:00:48,level_one,Restart
10/26/2022 22:00:48,level_one,Restart
10/26/2022 22:00:48,level_one,Restart
10/26/2022 22:00:48,level_one,Restart
10/26/2022 22:00:49,level_one,Restart
10/26/2022 22:00:49,level_one,Restart
10/26/2022 22:00:50,level_one,Quit
10/26/2022 22:00:52,level_four,Restart
10/26/2022 22:00:52,level_four,Restart
10/26/2022 22:00:52,level_four,Restart
10/26/2022 22:00:52,level_four,Restart
10/26/2022 22:00:54,level_four,Restart
10/26/2022 22:00:54,level_four,Restart
10/26/2022 22:00:54,level_four,Restart
10/26/2022 22:00:54,level_four,Restart
10/26/2022 22:00:54,level_four,Restart
10/26/2022 22:00:55,level_four,Restart
10/26/2022 22:00:55,level_four,Restart
10/26/2022 22:00:55,level_four,Restart
10/26/2022 22:00:55,level_four,Restart
10/26/2022 22:00:55,level_four,Restart
10/26/2022 22:00:56,level_four,Restart
10/26/2022 22:00:56,level_four,Quit
10/26/2022 22:00:56,level_four,Restart
10/26/2022 22:00:56,level_four,Restart
10/26/2022 22:00:59,level_seven,Restart
10/26/2022 22:01:00,level_seven,Restart
10/26/2022 22:01:00,level_seven,Restart
10/26/2022 22:20:18,level_one,Quit
10/26/2022 22:20:19,level_one,Restart
10/26/2022 22:20:20,level_one,Quit
10/26/2022 22:20:22,level_one,Quit
10/26/2022 22:20:23,level_two,Restart
10/26/2022 22:20:24,level_two,Quit
10/26/2022 22:20:30,level_one,Restart
10/26/2022 22:20:31,level_one,Restart
10/26/2022 22:20:32,level_one,Restart
10/26/2022 22:20:34,level_one,Quit
10/26/2022 22:20:36,level_four,Quit
10/26/2022 22:36:13,level_two,Quit
10/26/2022 22:38:19,level_one,Quit
10/26/2022 22:39:50,level_two,Restart
10/26/2022 22:39:56,level_two,Restart
10/26/2022 22:40:00,level_two,Quit
